course_name,course_id,review_id,content,rating,created,user_name
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,225956681,"Mobile Application lacks the features I like from Web app, where overall time for each module is given, and the collapsible modules for ease of navigation",5.0,2026-01-06T17:40:02-08:00,Udemy User
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,225519325,The selection of project and the project explanation is too good.,5.0,2026-01-01T03:01:20-08:00,HARSHINI Pokuru
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,225451583,very informative,5.0,2025-12-31T01:11:07-08:00,Badmasri B
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,224990009,"Course is outdated. The invoice,resume ATS,nutrition,youtube transcript use cases are amazing.Please update the course.Good to have concepts on Vertex AI and other google AI products.Thanks for sharing knowledge.",4.5,2025-12-24T23:15:40-08:00,Anil Kumar Kar
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,224440757,great,5.0,2025-12-18T01:04:12-08:00,Kaarthikeyan Jb
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,223477167,Teaches basics and advance,5.0,2025-12-06T10:09:27-08:00,Sathiskumar Palaniappan
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,222585835,good,4.5,2025-11-26T04:42:41-08:00,ANAND Vadapalli
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,221874295,The high level coding is good but expecting to address some key concepts as well,3.5,2025-11-18T01:09:30-08:00,Ajaykumar Patel
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,221198423,Good,5.0,2025-11-10T09:03:42-08:00,S Srinivasan
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,220020385,excellent,5.0,2025-10-28T03:25:14-07:00,Vasantula Hari
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,219908513,Great,5.0,2025-10-27T03:07:25-07:00,Krishna Vamsi Gangisetty
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,219600065,goood,4.5,2025-10-23T00:07:31-07:00,BARANIDHARAN Suresh
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,218831927,Great course with full hands on learning.,5.0,2025-10-13T21:16:50-07:00,Sam Basu
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,218486871,good exp,5.0,2025-10-09T06:21:11-07:00,Lakshmi Dhanavandan
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,217839071,Good course,5.0,2025-10-01T10:26:33-07:00,ALEN Joby
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,217726859,EXCELLENTE,4.5,2025-09-30T07:40:30-07:00,HERIBERTO GALVEZ BLANCO
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,217234957,Good,4.0,2025-09-24T21:57:26-07:00,Anshul Tickoo
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,217008525,Absolutely Awsome,4.5,2025-09-22T20:27:41-07:00,Maruf khan
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,216969813,fantastic,5.0,2025-09-22T08:57:57-07:00,Muhammad Nasir
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,215870717,Excellent,5.0,2025-09-09T14:45:12-07:00,Poluru Baludu
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,215550977,Excellent till now,4.5,2025-09-05T12:09:36-07:00,Moh Aasif
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,215441363,great teacher yo are,5.0,2025-09-04T07:35:41-07:00,Swapnil Banerjee
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,214952667,with just basic python knowledge i got lot of exposure on GENAI. Thank you,5.0,2025-08-29T12:08:50-07:00,Sujeeth Verma
Building Gen AI App 12+ Hands-on Projects with Gemini Pro,5979624,214654757,krish sir is very articulate,4.5,2025-08-26T10:37:30-07:00,gomathi s r
