course_name,course_id,review_id,content,rating,created,user_name
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,226413407,good for beginners,5.0,2026-01-12T02:24:58-08:00,Brian Chikura
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,225709105,"From OpenCV section, none of the things are clearly being explained. An example:
Usage of cv2.cvtColor(), the instructor could've elaborated the explanation. by saying. 
Takes two arguments: the image and the conversion type
cv2.COLOR_BGR2RGB: Convert OpenCV's BGR to standard RGB (for matplotlib)

When I'm expecting what a function is supposed to do, that isn't covered by the instructor. I'm asking AI to explain what each function is doing and why in the first place we are using it.",2.0,2026-01-04T06:52:45-08:00,Jinu Prakash
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,225093263,Great Learning experience,5.0,2025-12-26T09:37:49-08:00,Pushpak Jaisawal
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,223064413,"The implementation and the way of explaination is not giving proper exposure towards theory of concept 

not at all in-depth",1.0,2025-12-01T22:02:31-08:00,Malak Soni
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,222870805,Good,5.0,2025-11-29T11:13:48-08:00,Suraj Kumar
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,221797875,good so far,4.5,2025-11-17T05:35:43-08:00,Eftekher Ali Efte
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,221722655,quality is good but the text in video that is the codes are too small to view in mobile,5.0,2025-11-16T09:23:42-08:00,Srinjoyee Dey
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,221602717,"Want to learn Computer Vision and Artificial Intelligence? Get it all here from programming with Python, and every step of the way of any questions, the universe and everything. Cannot go wrong with a course from Krish Naik and friends. I'm personally learning for OpenCV and apply machine learning/AI to game engine textures and materials.",5.0,2025-11-14T04:53:20-08:00,Mike Harris
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,221533429,Good Course,5.0,2025-11-13T10:40:54-08:00,Aayushi Lohani
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,221187255,Great project,4.0,2025-11-10T07:04:58-08:00,Suraj Sharma
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,219832581,Good contents and insight teaching from basic to deep,4.5,2025-10-26T02:57:45-07:00,S Gowrishankar
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,219629343,amazing course,4.5,2025-10-23T05:49:34-07:00,Anshuman Panda
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,219283209,Please provide steps to install Anaconda and VScode in Macbook and configure environment variables,5.0,2025-10-19T06:13:05-07:00,Shiv
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,219141307,best,5.0,2025-10-16T22:53:11-07:00,Tushar joshi
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,218519721,"It is an amazing course. I have learned many things from that. However, in some videos, only typed code is shown, which is less effective for learning.",4.5,2025-10-09T13:10:03-07:00,Joy Kumar Acharjee
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,218336161,It is great overall but the switch on lectures starting on the models make it less fun and just the same like other lectures out there. It's a bit boring on the later part of the course unlike on the first half where it's interactive and story telling is on point.,3.5,2025-10-07T22:42:14-07:00,Liana Estoque
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,218137837,Super teaching,5.0,2025-10-05T23:04:04-07:00,Srinivas
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,217201239,good,5.0,2025-09-24T11:22:43-07:00,Venu Gopal gattineni
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,216477659,He teaches very nicely and make concept clear which is what is required especially in this field. Big thanks to Krish Naik !!!!!!!!!!!!!!!,5.0,2025-09-16T14:31:50-07:00,Sandeep Bhargava
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,216036359,following steadily since am new to programming.,5.0,2025-09-11T05:00:45-07:00,michael Darko
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,215727547,Very good,4.0,2025-09-08T07:27:36-07:00,gaspar dupas
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,215239097,"Every module is Excellent, but hand-on project is not there even though many mini projects are present ! Please upload it, will help a lot.",5.0,2025-09-02T08:27:57-07:00,Shivam Patil
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,215122965,nice explanation tell now,5.0,2025-09-01T05:24:19-07:00,Tushar Gupta
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,214903559,"The issue I felt is that the teaching lacks personal touch unlike Krish sir. Here the teacher seems to be in a hurry to end the course and does not teach well, also lacks good end to end projects that are resume worthy.",2.0,2025-08-29T01:51:32-07:00,Abinash Pradhan
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,214691457,Nice Course for CV!,5.0,2025-08-26T22:28:41-07:00,Ravi Panchal
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,214121043,good,5.0,2025-08-20T06:57:34-07:00,Abhishek Dubey
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,214016343,"Overall, the course was very good and informative. However, the sound quality in the last three sections was noticeably low, which made it a bit difficult to follow. Improving those parts would make the learning experience much better.",3.5,2025-08-19T07:56:10-07:00,MD. Hannan Mia
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,213966407,"All the resources are not available, it is since 3 months now and there is no update. Please update the content. krish sir we follow please dont do like this, this should not be like a business",1.0,2025-08-18T23:18:59-07:00,Aatish Kumar
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,213764877,he is very good teacher. everyone can understand very easy manner. he has a great technical skills .,5.0,2025-08-16T04:39:55-07:00,Tadivalasa Tirupathi Rao
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,213620713,"Explanations are very clear, course well structured. I'm missing some deep dives into some of the topics",4.5,2025-08-14T06:15:51-07:00,Itai Friedman
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,213615901,"it was good till krish naik left, after that it was so rough
no projects whatsoever, could have been so much better for the time and pricing",2.5,2025-08-14T05:22:48-07:00,Harsh Jain
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,213602309,Excallent !,5.0,2025-08-14T02:44:35-07:00,Kiran Rudramuni
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,213279305,excellent,5.0,2025-08-11T00:13:44-07:00,M Leela
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,213174593,"good but just a little less concept explanantion, also no projects added and also transformers are not there till now, but best course for begginers like me, cant say worth it but yeah its pretty good and with paying some amount of money discipline comes automatically.",3.5,2025-08-09T01:02:40-07:00,Vansh Pandit
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,212920751,"I cannot skip the lecture downloads side panel, due to which width of video becomes small even in landscape.",4.0,2025-08-06T05:47:41-07:00,Zoha Khalid
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,212603431,"Course is good, adding few projects and deployment of model in production would have been good. Overall good.",4.0,2025-08-02T23:24:16-07:00,Ramakrishnasai Wuppalapati
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,212554163,"Krish has good teaching skills and he explained very well , I recommend all to get basic concepts cleared using all cources from Krish",5.0,2025-08-01T23:32:19-07:00,Saurabh Kulkarni
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,212119479,its ok for getting started / overview. Wish object detection and segmentation had more depth.,3.0,2025-07-28T21:19:11-07:00,Abcdefg Hijklmno
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,211910589,nyc explanation....,4.5,2025-07-26T02:00:20-07:00,Harshavardhan Maddula
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,211906291,Very Good,5.0,2025-07-26T00:17:33-07:00,Sayantan Mandal
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,211898757,very clear and understandable,5.0,2025-07-25T20:43:12-07:00,Surya annepu
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,211811303,"yes, the concepts are clear and explaining in easier way and i suggest to provide the notes as well and practicing questions",4.5,2025-07-24T22:29:01-07:00,Gugulothprabhakar
Complete Computer Vision Bootcamp With PyTorch & Tensorflow,6278133,210726149,greatt,5.0,2025-07-13T05:06:01-07:00,BHOPINDRASINGH PARMAR
