course_name,course_id,review_id,content,rating,created,user_name
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226508273,good,4.5,2026-01-12T23:48:13-08:00,Tustee Mazumdar
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226502535,very good,5.0,2026-01-12T22:47:07-08:00,Subhashini T G
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226492161,"Teaching is not upto mark. First 2 Session was good. After that, he does not know what he is saying. He is typing incorrectly and speaking incorrectly. I learned some machine learning, but he is going to misguiding what i learned from IBM machine learning course from Coursea",1.5,2026-01-12T20:26:03-08:00,Vishnuraj M
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226458713,the video was lagging a  bit,2.5,2026-01-12T10:18:13-08:00,Mantu Satish Jha
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226437307,super super amazing this  is  master course designed well structure,5.0,2026-01-12T06:26:19-08:00,Maan Mustaf
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226409507,good,5.0,2026-01-12T01:46:43-08:00,Lopamudra Mohapatra
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226394607,Amazing course,5.0,2026-01-11T23:00:18-08:00,Anirudh Sharma
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226358191,very good,4.5,2026-01-11T09:04:13-08:00,Karan Arora
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226358009,good,3.0,2026-01-11T09:00:10-08:00,Abdul Basit
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226349719,Good as i aspect from him,4.5,2026-01-11T06:15:03-08:00,VISHAL SINGH
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226335799,best,5.0,2026-01-11T00:48:21-08:00,Aarti kumari
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226327645,good,5.0,2026-01-10T20:59:18-08:00,Sudip Pal
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226304677,good,5.0,2026-01-10T08:31:35-08:00,Swati
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226266641,All you want to learn in Machine Learning one place to do it all,5.0,2026-01-09T15:10:10-08:00,Ashish Sawhney
"Complete Data Science, Machine Learning, DL, NLP Bootcamp",5993822,226184913,good,5.0,2026-01-08T21:06:09-08:00,Pawan
