course_name,course_id,review_id,content,rating,created,user_name
Complete Generative AI Course With Langchain and Huggingface,6010764,226492753,good,5.0,2026-01-12T20:36:10-08:00,Venkat
Complete Generative AI Course With Langchain and Huggingface,6010764,226456315,Easy to understand and instead of typing everything comment those with pause video and then code the examples.,4.5,2026-01-12T09:48:11-08:00,Naveen Kumar Shyam
Complete Generative AI Course With Langchain and Huggingface,6010764,226396149,Excellent course content. Ensures complete coverage,5.0,2026-01-11T23:17:09-08:00,Rahul Yadav
Complete Generative AI Course With Langchain and Huggingface,6010764,226349095,jnkiuj,4.0,2026-01-11T06:03:01-08:00,Shobhit Verma
Complete Generative AI Course With Langchain and Huggingface,6010764,226313993,"Amazing course, done with great energy and positivity. Keep up the good work.",5.0,2026-01-10T12:19:53-08:00,Abhishek Mehta
Complete Generative AI Course With Langchain and Huggingface,6010764,226310285,W,5.0,2026-01-10T10:35:04-08:00,SHUBHANG JOSHI
Complete Generative AI Course With Langchain and Huggingface,6010764,226308741,This course is very helpful and it give a clear understanding on generative AI and Langchain,5.0,2026-01-10T09:59:02-08:00,Priyajit Chakraborty
Complete Generative AI Course With Langchain and Huggingface,6010764,226306651,BEST TEACHER EVER,5.0,2026-01-10T09:13:05-08:00,Sakshi Srivastava
Complete Generative AI Course With Langchain and Huggingface,6010764,226299433,"I have just started learning LLM's and with this course I got some idea about what the models are and how to use them. But the trainer missed the fundamental thing of a course, like explaining concepts, and while implementing, there is no proper explanation about why he is implementing that particular block of code",4.0,2026-01-10T06:39:05-08:00,Srikanth Yannam
Complete Generative AI Course With Langchain and Huggingface,6010764,226298075,good,5.0,2026-01-10T06:12:21-08:00,Siva Selvakumar
Complete Generative AI Course With Langchain and Huggingface,6010764,226287957,The Bestest GEN AI On Internet Right Now!!!,5.0,2026-01-10T02:17:53-08:00,Fardeen Khan
Complete Generative AI Course With Langchain and Huggingface,6010764,226285751,"It feels like a drawing and word repetition class rather than a AI and GEN AI course. In the entire course he is fulfilling his desire of drawing and repeating same thing again and again. He draws and then delete and again draw same thing and sometimes even without deleting he is drawing same things again. And same he is doing for simple terms also, instead of focusing on what is RNN or LSTM RNN and it's working, he is focusing on what is ht-1, ct, input gate, output gate etc in the diagram and repeating these words and explaning them only 40-50 times. This course is utterly boring and very difficult to follow along.",1.0,2026-01-10T01:21:24-08:00,Aman Saurabh
Complete Generative AI Course With Langchain and Huggingface,6010764,226279927,nice,4.0,2026-01-09T22:51:41-08:00,siddesh S
Complete Generative AI Course With Langchain and Huggingface,6010764,226247211,very nice,5.0,2026-01-09T09:11:48-08:00,Sanjay R
Complete Generative AI Course With Langchain and Huggingface,6010764,226240973,krish naik course are always best when it comes to AI. I like all his videos. His explanation his very simple to understand and detailed and cover all the topics.,5.0,2026-01-09T07:53:09-08:00,Surya Ramesh
Complete Generative AI Course With Langchain and Huggingface,6010764,226238029,super,5.0,2026-01-09T07:18:41-08:00,Amit kumar
Complete Generative AI Course With Langchain and Huggingface,6010764,226145809,good,5.0,2026-01-08T09:10:31-08:00,Zaheer Ahmad
Complete Generative AI Course With Langchain and Huggingface,6010764,226111997,good,3.5,2026-01-08T03:12:28-08:00,Vamsi
Complete Generative AI Course With Langchain and Huggingface,6010764,226110815,All good,4.5,2026-01-08T02:59:36-08:00,Indrajit Roy
Complete Generative AI Course With Langchain and Huggingface,6010764,225811475,Very difficult to understand some parts. The teacher is very fast and does not show how we will do the practice and how to use in  real-time work,3.5,2026-01-05T08:55:15-08:00,Vivekananda Mahanta
Complete Generative AI Course With Langchain and Huggingface,6010764,225784957,Amazing presentation,5.0,2026-01-05T04:23:29-08:00,Divya Ravindran
Complete Generative AI Course With Langchain and Huggingface,6010764,225744215,Good course,5.0,2026-01-04T21:18:29-08:00,Ramana Remella
Complete Generative AI Course With Langchain and Huggingface,6010764,225707507,good explain and easy to understand,4.5,2026-01-04T06:18:58-08:00,Himanshu Singh
Complete Generative AI Course With Langchain and Huggingface,6010764,225691977,clearly explained,5.0,2026-01-03T23:58:10-08:00,Lakshmi Kant Shukla
Complete Generative AI Course With Langchain and Huggingface,6010764,225691859,grt content,5.0,2026-01-03T23:54:59-08:00,Anubhav Kumar
Complete Generative AI Course With Langchain and Huggingface,6010764,225688165,It is basic course for a ML AI engineer,3.0,2026-01-03T22:16:08-08:00,Manish
Complete Generative AI Course With Langchain and Huggingface,6010764,225668587,Good,5.0,2026-01-03T10:15:16-08:00,Aditya Rajaram Gaikar
Complete Generative AI Course With Langchain and Huggingface,6010764,225656549,This course really helped me understand the concept of LLM model architecture like Transformers and langchain framework to implement GEN AI Application.,3.5,2026-01-03T05:45:10-08:00,Naveenkumar ANANDAN ANANDAN
Complete Generative AI Course With Langchain and Huggingface,6010764,225650127,i am enjoying the new world,5.0,2026-01-03T03:07:10-08:00,Ashmeet Sandhu
Complete Generative AI Course With Langchain and Huggingface,6010764,225640913,fabulous,5.0,2026-01-02T22:55:41-08:00,Rushikesh Chalake
Complete Generative AI Course With Langchain and Huggingface,6010764,225640309,"That was an amazing tutorial to beginners of GenAI.
Thank you for this!",5.0,2026-01-02T22:37:31-08:00,Kavyasri VJ
Complete Generative AI Course With Langchain and Huggingface,6010764,225621451,"Why instructor is reading theory and not explaining what its actual meaning. 
2nd thing, he is just giving code. I mean If I take example of Splitter, just pass chunk size and overlap, not explained what its mean, how to optimise what its exactly mean. just giving code and reading theory. I mean that we can do too by going through documentation. We are following tutorial just to understand flow. 
Every slide he is just reading theory, which doesn't make sense as beginner with 0 prior knowledge for these terms.",1.5,2026-01-02T12:37:05-08:00,Shubhendra Srivastava
Complete Generative AI Course With Langchain and Huggingface,6010764,225548817,Amazing course and worth buying it was like investing in bitcoin in 2010 for me,5.0,2026-01-01T18:21:49-08:00,Ibrahim
Complete Generative AI Course With Langchain and Huggingface,6010764,225495287,i will revisit this again,5.0,2025-12-31T11:59:56-08:00,Lalita Mohanty
Complete Generative AI Course With Langchain and Huggingface,6010764,225460957,재밌어요!,5.0,2025-12-31T03:08:57-08:00,student15 nca3
Complete Generative AI Course With Langchain and Huggingface,6010764,225431589,Exceptional course. Every Topic Covered Beautifully,5.0,2025-12-30T20:16:26-08:00,Balasubramanya C K
Complete Generative AI Course With Langchain and Huggingface,6010764,225408277,good one,4.0,2025-12-30T11:29:03-08:00,Aman Kumar
Complete Generative AI Course With Langchain and Huggingface,6010764,225407451,Great Course,4.0,2025-12-30T11:18:11-08:00,Chandan Kumar
Complete Generative AI Course With Langchain and Huggingface,6010764,225333131,Good insight shared.,5.0,2025-12-29T21:43:39-08:00,Nirlipta Behera
Complete Generative AI Course With Langchain and Huggingface,6010764,225286003,Satisfactory and Informative,4.5,2025-12-29T08:20:40-08:00,Jagannadan Manasa
Complete Generative AI Course With Langchain and Huggingface,6010764,225225745,good,5.0,2025-12-28T21:52:03-08:00,Satyanarayana
Complete Generative AI Course With Langchain and Huggingface,6010764,225220079,"The course narrator is slow, make mistakes and cover topics superficially",1.0,2025-12-28T20:21:53-08:00,Anton Mykhalchuk
Complete Generative AI Course With Langchain and Huggingface,6010764,225200061,your the best,5.0,2025-12-28T10:35:16-08:00,Prabhakara Uyyala
Complete Generative AI Course With Langchain and Huggingface,6010764,225180837,damn tooo goood every thing is covered ii am following sir content on youtube and definitely this course is gem,5.0,2025-12-28T03:32:59-08:00,Vaibhav Patil
Complete Generative AI Course With Langchain and Huggingface,6010764,225173555,"in the end, there is no proper continuty from topic to topic.",3.0,2025-12-28T00:24:55-08:00,Prudhvi Mohan Cherukupalli
Complete Generative AI Course With Langchain and Huggingface,6010764,225150029,very good,4.5,2025-12-27T10:17:13-08:00,Anirudh
Complete Generative AI Course With Langchain and Huggingface,6010764,225133851,Sections are back and  forth should  be in order right,1.0,2025-12-27T04:05:11-08:00,HEMANADHA REDDY N
Complete Generative AI Course With Langchain and Huggingface,6010764,225127929,money wasted,1.0,2025-12-27T01:25:16-08:00,Hammad Shakeel
