course_name,course_id,review_id,content,rating,created,user_name
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,226348051,He is teaching everything from groundup and teaching with a lot of examples and how it will be used in Data Science.,5.0,2026-01-11T05:43:09-08:00,Thanniru Rohansai
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,226340357,The applications were explained with clarity with respect to data science,5.0,2026-01-11T02:44:38-08:00,Adwin Justa Manuel
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,226300735,i feel good while seeing this video and  I understand some applications of liinear algebra in feild of artificial intelligence,4.0,2026-01-10T07:06:45-08:00,Manoj Denisetti
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225903417,It was  a good start for the Maths Concepts used in AI and explanation was really awesome with examples.,4.5,2026-01-06T05:24:36-08:00,Bothra Sports
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225753067,"uptill now i have completed scalar,vectors,matrices,liner alzebra and now i am learning statistics and i am telling all the learners who is looking for mathematics course specially for data science,this is the course on udemy they should go with.
krish sir explain each and every thing very well and try to go into the depth as much as he can.
i also purchased sir's data science and gen ai course.let's see what is there in that course's also.
A big thanks to him to provide this amezing course for all the learnes in very affordable price.
THANK'S A LOT SIR....",5.0,2026-01-04T22:59:43-08:00,Udemy User
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225718369,good,4.5,2026-01-04T10:20:26-08:00,Madhur Nema
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225664971,this course is good for beginner and krish sir explain all the topic with real life example 😊,5.0,2026-01-03T08:51:51-08:00,harshit chauhan
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225654991,best match for me,4.5,2026-01-03T05:07:14-08:00,Nitesh Kumar
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225640039,"Excellent Course so far. I am studying for my upcoming PhD Exam, and I believe these concepts will come up! My PhD is in Biomedical Informatics and Data Science",5.0,2026-01-02T22:29:09-08:00,Naif Ganadily
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225632183,"nothing learned so far , all touch the topic we already know",1.0,2026-01-02T17:50:41-08:00,Manish Dangiwal
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225552233,It is the best course I have ever seen.,5.0,2026-01-01T20:03:35-08:00,Paresh Ishwar Patil
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225520147,good,5.0,2026-01-01T03:20:31-08:00,Asif Nawed
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225519843,Good explation,4.5,2026-01-01T03:13:03-08:00,Vishal Singh
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225227277,Excellent sir.Thank you,5.0,2025-12-28T22:10:48-08:00,Divya S
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225102073,good,5.0,2025-12-26T12:13:10-08:00,Leela
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,225025769,Good explanation so far,4.5,2025-12-25T14:11:07-08:00,Sunil Philip
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,224838535,"Excellent video. Small request. Once the Eigenvalues and vectors are calculated, if it was again shown on the graph, it would have been a Great finish!",5.0,2025-12-23T03:36:27-08:00,Venkatesh Mysoreseshadri
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,224574141,i have started this but it should be more in depth,4.0,2025-12-19T08:52:10-08:00,M. Ramaz
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,224468353,Explanation of concepts good and in-depth. But there are some minor silly mathematical mistakes while delivery of concepts. That should be corrected. Rest is nice.,4.0,2025-12-18T06:12:01-08:00,Vibhu Tandon
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,224259653,Good,4.0,2025-12-16T04:45:52-08:00,Navaneeth BN
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,223987931,good,4.5,2025-12-12T06:49:42-08:00,GUDIPATI shyam
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,223424623,"The course was genuinely solid. I really appreciated the effort Krish put into explaining the math behind ML—linear algebra, probability, statistics, and calculus—without rushing through anything.",4.0,2025-12-05T09:38:36-08:00,Sagar Rai
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,223383341,Excellent Teaching,4.5,2025-12-05T00:02:01-08:00,M padma
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,223353581,"The course is very good indeed, but there are some things which could be explained in a much better way.",3.5,2025-12-04T15:09:38-08:00,Aryan Soni
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,223120441,Some Lecture parts are missing,3.5,2025-12-02T07:51:12-08:00,Nivesh Khandelwal
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,223008897,good,4.0,2025-12-01T07:30:14-08:00,VIVEK V
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,222941367,Course is giving me a clear understanding of mathematical concepts and its applications in data science field. I highly recommend evryone who want to build a strong foundation in mathematics,5.0,2025-11-30T17:30:15-08:00,Hema Sai Pavan Velivela
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,222853973,Best Best !!,5.0,2025-11-29T05:16:44-08:00,Amey Yarnalkar
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,222785915,good,5.0,2025-11-28T04:53:50-08:00,Vyshnavi Vemula
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,222679451,Interactive course helped me in understanding about stats more deeply,5.0,2025-11-27T02:49:02-08:00,Anshi Srivastava
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,222445413,Nice course,5.0,2025-11-24T22:57:01-08:00,Awwal Olalekan
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,222430665,All the mathematical concepts are nicely explained along with the application in ML,5.0,2025-11-24T19:38:19-08:00,Bishwa Rai
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,222407667,"It scares me that there were at least two instances where very simple derivatives were wrong. If someone didn't have a University level background and identified the errors, these mistakes could cause quite a bit of confusion. How many other mistakes are in this training if the instructor can't derive simple trig and polynomial functions?",3.0,2025-11-24T11:57:25-08:00,Andrew Josselyn
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,222124643,"The instructor is amazing, detailed explanation but i would recommend for you to have a little background knowledge.",4.0,2025-11-20T13:59:06-08:00,Mncedisi Zondo
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,221749947,"It is merely a roadmap, lacking depth in mathematics. Only good for someone who already knows the basics and just wants a certificate.",2.0,2025-11-16T21:05:59-08:00,Mrunal Pattanaik
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,221707063,Best course for the beginner to start the mathematics for data science,5.0,2025-11-16T03:29:46-08:00,YOKESWARAN S
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,221679971,nice course,5.0,2025-11-15T11:25:49-08:00,Shravan Kumar Wadhwa
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,221655067,Good presentation and examples,4.5,2025-11-15T00:17:32-08:00,Prasad Kollipara
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,221624639,"excellent course , very easy to understand.",5.0,2025-11-14T09:34:25-08:00,Jayant Parmar
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,221605363,good,5.0,2025-11-14T05:26:51-08:00,Sanket Patankar
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,221516973,Best course,5.0,2025-11-13T07:15:29-08:00,Rohan Sharma
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,221261165,good some content may be add but thanks to you provided free course,5.0,2025-11-11T00:54:14-08:00,Shaurya Tiwari
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,221129599,Good,5.0,2025-11-09T21:02:22-08:00,Reshmi Menon
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,221098327,Till now excellent,5.0,2025-11-09T08:36:41-08:00,PavanKumar Kurra
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,221015445,Great course,5.0,2025-11-07T20:24:37-08:00,Shreya Chaudhary
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,220975177,Very good course explained in detail,5.0,2025-11-07T06:29:17-08:00,Ashish Lahoti
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,220804735,Found intuitive ways of understanding many concepts that we have understood in a not so intuitive way for years.,4.5,2025-11-05T13:31:30-08:00,Aravindkumar Devendran
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,220689253,A little to much to digest in one session. Considering this was the intro into Linear Algebra.,3.0,2025-11-04T11:03:55-08:00,J_Blaze24
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,220662093,Thank you so much Krish. Once again you aced in explaining all the concepts so clearly and practically.,5.0,2025-11-04T05:53:30-08:00,Kshitij
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,220603671,Excellent tutorial and explanation by krish sir,5.0,2025-11-03T18:42:06-08:00,Khushaal Jha
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,220469871,good to unerstand,5.0,2025-11-02T02:36:54-08:00,Suresh Vagji
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,220338513,There are many more are missing from the content,3.0,2025-10-31T00:32:08-07:00,Arya Abinash
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,220219259,Perfect explanation of each topic.,4.5,2025-10-29T22:52:11-07:00,Lokesh Ravi
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,220058027,Nice course.,4.5,2025-10-28T09:26:30-07:00,Prayash sharma
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,219814675,"Great course to understand maths fundamentals behind machine learning but it seems course ended abruptly and many things which were said will be covered in future lessons, did not get covered at all.",3.5,2025-10-25T17:14:50-07:00,Hitesh Bonde
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,219805045,nice explanation,5.0,2025-10-25T11:20:42-07:00,Tapas Sethi
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,219657387,Very simple and practical. Good teacher.,4.5,2025-10-23T11:33:17-07:00,Rohan Korde
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,219487109,good course in short time,5.0,2025-10-21T20:02:01-07:00,Shubhamoy Majumder
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,219329225,"course is  Amazing as i wanted the understanding of my mathematics concepts with some examples ....so that i can focus more on my machine learning journey 
Thank you sir for this

One small issue i noticed that on some videos voice got down ...idk why
but this can be fixed on later",4.5,2025-10-20T03:02:01-07:00,Sumit Rai
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,219155997,"""I previously held a negative opinion of this individual because I felt his explanations were overly theoretical, relying on lengthy notes without demonstrating genuine insight. This was further exacerbated by what I perceived as his students' ostentatious displays on social media, flaunting his supposed hard work or merely mimicking information. Consequently, I sought an alternative learning method and enrolled in this course. To my surprise, his teaching reflected his own learning process, which I found remarkably effective. While I may be mistaken in my initial assessment, I feel powerless to influence those who engage in such self-aggrandizement. I successfully completed this course without extensive note-taking, as he thoughtfully provided comprehensive materials. Instead, I focused on conducting my own experiments with each topic, avoiding rote memorization. He understands that students should not simply act as ""xerox machines,"" which I appreciate. Overall, I thoroughly enjoyed learning from Krish, and I highly recommend his course to anyone who shares a similar learning style. 
Thank you, Krish !""",5.0,2025-10-17T01:54:04-07:00,SHASHWAT DEV HANS
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,219145469,Good and easy to understand,4.0,2025-10-16T23:46:08-07:00,Chella Annam Murugappan M
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,219016311,Still expecting more content,4.5,2025-10-15T12:27:34-07:00,Balasaravanan P
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,218949191,The lessions are good and the teacher is good. However examples are congested in a sketch it is better to draw distict sketches to place coordinates that using one sketch for many examples.,4.5,2025-10-14T23:43:32-07:00,Charles Oyo
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,218874743,"Great course, easy to understand",5.0,2025-10-14T05:15:26-07:00,Yohanes Cahya
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,218835515,Super I wanted to learn this from 10 years. Practical application of mathematics in AI. This course helped me with that,5.0,2025-10-13T22:14:07-07:00,Janakiram Pulipati
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,218813335,Well-explained course with good visuals.,4.5,2025-10-13T14:04:58-07:00,Bertrand YANN
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,218405505,it was a great course for learning the maths behind the all processes we utilize in data science and machine learning!,4.0,2025-10-08T10:49:23-07:00,Varun Wadhwa
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,218304661,good experience,5.0,2025-10-07T10:50:21-07:00,Shubham Tripathi
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,218166207,Good explainations with examples.,5.0,2025-10-06T04:21:26-07:00,Subash Subbarayan
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,218013945,Krish Naik sir thank you for this course sir its very useful content sir,5.0,2025-10-03T11:55:13-07:00,RAKESH MAHATO
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,217942103,not good enough in content and teaching quality,2.0,2025-10-02T18:13:29-07:00,William Sulca Talavera
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,217797071,Covered with most of theory part with examples . It Could be more in depth with practical exercise along with examples. So that leaners can apply what they gained.,4.0,2025-10-01T01:32:17-07:00,Ashwin Pavan
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,217789473,Excellent,5.0,2025-09-30T23:57:37-07:00,Shubham Shrivas
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,217515923,nice,5.0,2025-09-28T07:55:03-07:00,Adamya Kumar
